Format Version,1.21,Take Name,Take 2017-12-04 07.34.48 PM,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-12-04 07.34.48.522 PM,Total Frames in Take,2375,Total Exported Frames,595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso
,,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9CD95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5441DC9ED95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,5C3AD461D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D4D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6283C3D5D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682,6CC31432D95C11E7D75CBFEB1734E682
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0,-0.556105,0.363744,-0.378654,-0.64425,-0.088478,0.809979,0.274074,0.000951,-0.062392,-0.12844,0.042135,0.988855,-0.056454,0.812234,-0.282456,0.000653,0.113945,-0.104438,0.00203,-0.98798,-0.019008,0.077624,-0.199757,0.000912,-0.218096,0.10617,-0.186395,-0.95206,-0.026402,0.076447,0.207724,0.000966,0.008879,0.214478,-0.042235,-0.975775,-0.00549,1.710428,-0.02023,0.000191,-0.005482,-0.111616,-0.012687,0.993655,0.076641,1.283336,0.01953,0.001567
1,0.033333,-0.555689,0.362649,-0.37887,-0.645099,-0.088563,0.809889,0.274358,0.000951,-0.063387,-0.128334,0.042456,0.988792,-0.056233,0.812069,-0.282414,0.000598,0.113927,-0.104433,0.002057,-0.987983,-0.019013,0.077624,-0.199762,0.000909,-0.218126,0.106055,-0.186447,-0.952056,-0.026379,0.076433,0.207745,0.000945,0.009481,0.217407,-0.042365,-0.975115,-0.005386,1.710367,-0.020598,0.000197,-0.005546,-0.11222,-0.012664,0.993587,0.076481,1.283325,0.019459,0.001562
2,0.066667,-0.55567,0.362029,-0.380201,-0.64468,-0.088448,0.809714,0.274631,0.000984,-0.063886,-0.128814,0.042651,0.988689,-0.055966,0.811908,-0.282354,0.00059,0.113969,-0.104443,0.002049,-0.987977,-0.019011,0.077627,-0.199766,0.000908,-0.217979,0.106183,-0.186432,-0.952079,-0.026405,0.076475,0.207726,0.000951,0.010107,0.221153,-0.042357,-0.974266,-0.005144,1.710301,-0.020855,0.000194,-0.005567,-0.112967,-0.012645,0.993503,0.076313,1.283303,0.019426,0.001562
3,0.1,-0.554995,0.361975,-0.382074,-0.644186,-0.08837,0.809561,0.274815,0.000976,-0.064066,-0.129365,0.042949,0.988593,-0.055707,0.811787,-0.282323,0.000597,0.113963,-0.104438,0.002088,-0.987978,-0.019003,0.077623,-0.199761,0.000901,-0.218127,0.106185,-0.186286,-0.952073,-0.02637,0.076446,0.207717,0.00096,0.010632,0.22442,-0.042245,-0.973518,-0.004885,1.710264,-0.020993,0.000211,-0.005656,-0.113663,-0.01259,0.993424,0.076162,1.283305,0.019446,0.001563
