Format Version,1.21,Take Name,Rutina_Circulos_Lennon,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-27 08.00.40.658 PM,Total Frames in Take,2367,Total Exported Frames,593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm
,,"A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","E52FACB0D3DE11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","4088085D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382","9F2FA472D3DF11E7D75CBFEB1734E382"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0.000000,0.005104,-0.052086,-0.049715,-0.997391,-0.059184,1.673589,-0.013724,0.000631,0.034240,-0.059300,-0.005184,-0.997639,0.077160,1.310931,0.005210,0.001377,-0.546883,0.409416,-0.592028,0.427551,-0.071616,0.762850,0.261830,0.001580,0.056143,-0.020885,0.042580,0.997296,-0.029869,0.053916,-0.205162,0.001498,0.012722,-0.208751,0.005321,0.977872,0.028582,0.050214,0.190589,0.000867,0.050818,-0.154901,-0.169148,-0.972015,-0.103143,0.780326,-0.265453,0.000975
1,0.033333,0.005055,-0.052052,-0.049975,-0.997380,-0.059379,1.673552,-0.013762,0.000636,0.034295,-0.059207,-0.005194,-0.997643,0.077099,1.310905,0.005154,0.001383,-0.546922,0.409314,-0.591980,0.427665,-0.071597,0.762831,0.261826,0.001577,0.056120,-0.020868,0.042560,0.997298,-0.029869,0.053918,-0.205164,0.001500,0.012734,-0.208764,0.005316,0.977869,0.028575,0.050209,0.190589,0.000871,0.050849,-0.154691,-0.169161,-0.972044,-0.103119,0.780253,-0.265410,0.000983
2,0.066667,0.004911,-0.052070,-0.050318,-0.997363,-0.059571,1.673522,-0.013794,0.000637,0.034389,-0.059175,-0.005111,-0.997642,0.077052,1.310904,0.005101,0.001387,-0.547094,0.409188,-0.592310,0.427108,-0.071582,0.762803,0.261817,0.001536,0.055992,-0.020834,0.042556,0.997306,-0.029875,0.053905,-0.205168,0.001504,0.012735,-0.208733,0.005336,0.977875,0.028576,0.050211,0.190589,0.000868,0.051037,-0.154626,-0.169250,-0.972029,-0.103118,0.780173,-0.265353,0.000990
3,0.100000,0.004829,-0.052135,-0.050714,-0.997340,-0.059742,1.673489,-0.013836,0.000638,0.034397,-0.059175,-0.005115,-0.997642,0.076995,1.310880,0.005047,0.001391,-0.547007,0.409333,-0.591821,0.427759,-0.071661,0.762837,0.261803,0.001573,0.056147,-0.020849,0.042576,0.997296,-0.029872,0.053909,-0.205157,0.001500,0.012690,-0.208740,0.005328,0.977874,0.028579,0.050213,0.190585,0.000873,0.050999,-0.154501,-0.169210,-0.972058,-0.103144,0.780109,-0.265290,0.000994
4,0.133333,0.004784,-0.052172,-0.050904,-0.997328,-0.059881,1.673460,-0.013914,0.000632,0.034425,-0.059117,-0.005035,-0.997645,0.076939,1.310869,0.004986,0.001389,-0.546967,0.409292,-0.591899,0.427743,-0.071756,0.762835,0.261766,0.001568,0.056134,-0.020870,0.042587,0.997296,-0.029870,0.053914,-0.205163,0.001500,0.012701,-0.208758,0.005362,0.977870,0.028574,0.050216,0.190582,0.000868,0.050833,-0.154399,-0.169156,-0.972092,-0.103185,0.780044,-0.265215,0.000994
5,0.166667,0.004704,-0.052154,-0.051032,-0.997323,-0.059958,1.673438,-0.013986,0.000636,0.034447,-0.059088,-0.005029,-0.997646,0.076889,1.310866,0.004912,0.001398,-0.547005,0.409485,-0.591871,0.427546,-0.071875,0.762854,0.261704,0.001578,0.056074,-0.020834,0.042607,0.997299,-0.029870,0.053916,-0.205161,0.001504,0.012706,-0.208746,0.005384,0.977873,0.028571,0.050220,0.190579,0.000869,0.050800,-0.154481,-0.169286,-0.972058,-0.103229,0.779999,-0.265154,0.000996
