Format Version,1.21,Take Name,ArmsJavier,Capture Frame Rate,215.000000,Export Frame Rate,30.000000,Capture Start Time,2018-10-25 08.43.44.157 PM,Total Frames in Take,3091,Total Exported Frames,432,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,"3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","3ECB8DFBD8C111E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","39B055C9D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B212F454D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783","B9C45898D8C811E8D75CBFEB17343783"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.007373,0.641755,-0.020435,-0.766602,0.037567,1.765294,-0.023990,0.000329,0.693232,0.004452,-0.720701,0.046692,1.215265,0.011333,-0.200248,0.179503,-0.932563,-0.240844,-0.084852,0.877167,-0.265611,0.867721,-0.363125,-0.158862,0.299940,-0.091275,0.877543,0.261776
1,0.033333,0.008145,0.642057,-0.019614,-0.766363,0.038143,1.765296,-0.024098,0.000427,0.693058,0.004473,-0.720868,0.046675,1.215262,0.011388,-0.198267,0.180077,-0.932699,-0.241528,-0.085047,0.877325,-0.265444,0.868627,-0.361556,-0.157052,0.300165,-0.090771,0.877358,0.261919
2,0.066667,0.008968,0.642189,-0.018954,-0.766260,0.038668,1.765297,-0.024176,0.000472,0.692882,0.004501,-0.721036,0.046666,1.215263,0.011420,-0.197490,0.181095,-0.932579,-0.241864,-0.084998,0.877438,-0.265197,0.870008,-0.360281,-0.153610,0.299480,-0.090314,0.877245,0.262085
3,0.100000,0.009926,0.642395,-0.018253,-0.766092,0.039134,1.765309,-0.024206,0.000514,0.692783,0.004519,-0.721132,0.046677,1.215244,0.011445,-0.196896,0.181326,-0.932717,-0.241644,-0.084725,0.877495,-0.264968,0.871493,-0.359076,-0.148588,0.299143,-0.089940,0.877121,0.262310
4,0.133333,0.010541,0.642376,-0.017676,-0.766113,0.039492,1.765379,-0.024121,0.000565,0.692625,0.004580,-0.721283,0.046734,1.215238,0.011446,-0.196884,0.181161,-0.932900,-0.241071,-0.084270,0.877566,-0.264800,0.872230,-0.357686,-0.145294,0.300276,-0.089547,0.877025,0.262732
5,0.166667,0.010626,0.642164,-0.017533,-0.766293,0.039736,1.765471,-0.023928,0.000570,0.692467,0.004627,-0.721435,0.046780,1.215267,0.011459,-0.196591,0.179985,-0.933446,-0.240075,-0.083739,0.877586,-0.264736,0.872227,-0.356573,-0.145877,0.301323,-0.088954,0.876843,0.263379
6,0.200000,0.009717,0.641584,-0.018107,-0.766777,0.039851,1.765474,-0.023621,0.000496,0.692303,0.004610,-0.721592,0.046789,1.215260,0.011468,-0.195851,0.179423,-0.933795,-0.239744,-0.083209,0.877558,-0.264814,0.872251,-0.355163,-0.146636,0.302548,-0.088375,0.876588,0.264033
7,0.233333,0.008944,0.641582,-0.018507,-0.766779,0.039821,1.765536,-0.023334,0.000485,0.692183,0.004615,-0.721707,0.046844,1.215254,0.011488,-0.195367,0.179919,-0.933914,-0.239302,-0.082755,0.877543,-0.264984,0.872738,-0.353570,-0.146701,0.302979,-0.087900,0.876359,0.264628
8,0.266667,0.007641,0.641605,-0.019537,-0.766749,0.039598,1.765635,-0.023042,0.000501,0.692159,0.004658,-0.721730,0.046930,1.215256,0.011542,-0.194555,0.179898,-0.934265,-0.238611,-0.082377,0.877519,-0.265227,0.872415,-0.352779,-0.148258,0.304070,-0.087442,0.876106,0.265151
9,0.300000,0.006102,0.641573,-0.020962,-0.766751,0.039144,1.765699,-0.022795,0.000528,0.692175,0.004715,-0.721714,0.047048,1.215245,0.011607,-0.193346,0.180268,-0.934677,-0.237695,-0.082074,0.877459,-0.265497,0.871781,-0.352457,-0.150572,0.305123,-0.087079,0.875864,0.265539
10,0.333333,0.004579,0.641644,-0.022505,-0.766658,0.038584,1.765743,-0.022612,0.000650,0.692228,0.004830,-0.721663,0.047228,1.215223,0.011675,-0.192355,0.180390,-0.934927,-0.237425,-0.081879,0.877420,-0.265700,0.871385,-0.352190,-0.151921,0.305894,-0.086846,0.875712,0.265735
11,0.366667,0.003550,0.641899,-0.024215,-0.766398,0.037997,1.765785,-0.022497,0.000755,0.692226,0.004959,-0.721663,0.047428,1.215227,0.011752,-0.191870,0.180455,-0.935039,-0.237329,-0.081762,0.877445,-0.265747,0.871505,-0.351963,-0.152073,0.305738,-0.086729,0.875621,0.265718
12,0.400000,0.002513,0.642125,-0.025809,-0.766161,0.037428,1.765808,-0.022361,0.000720,0.692221,0.005016,-0.721668,0.047559,1.215234,0.011838,-0.191695,0.180445,-0.935088,-0.237283,-0.081715,0.877489,-0.265668,0.871929,-0.351742,-0.151871,0.304882,-0.086636,0.875540,0.265530
13,0.433333,0.001543,0.642469,-0.026963,-0.765835,0.036982,1.765846,-0.022177,0.000707,0.692241,0.005096,-0.721648,0.047718,1.215248,0.011934,-0.191326,0.180327,-0.935147,-0.237438,-0.081730,0.877520,-0.265458,0.872256,-0.351518,-0.151858,0.304211,-0.086491,0.875457,0.265290
14,0.466667,0.000698,0.642936,-0.027936,-0.765410,0.036669,1.765867,-0.021938,0.000762,0.692245,0.005199,-0.721643,0.047922,1.215257,0.012009,-0.191133,0.180023,-0.935245,-0.237439,-0.081787,0.877551,-0.265168,0.872430,-0.351193,-0.151928,0.304053,-0.086313,0.875370,0.265085
15,0.500000,0.000101,0.643258,-0.028463,-0.765121,0.036501,1.765885,-0.021686,0.000791,0.692312,0.005226,-0.721579,0.047896,1.215195,0.011761,-0.191179,0.180125,-0.935134,-0.237762,-0.081892,0.877566,-0.264797,0.872647,-0.350928,-0.151774,0.303812,-0.086128,0.875247,0.264893
16,0.533333,-0.000320,0.643418,-0.028605,-0.764980,0.036445,1.765899,-0.021452,0.000842,0.692295,0.005270,-0.721595,0.048097,1.215174,0.011838,-0.190702,0.180359,-0.935055,-0.238276,-0.081999,0.877592,-0.264410,0.872837,-0.350564,-0.151675,0.303736,-0.085924,0.875132,0.264730
17,0.566667,-0.000599,0.643435,-0.028567,-0.764968,0.036475,1.765936,-0.021243,0.000849,0.692235,0.005345,-0.721652,0.048297,1.215182,0.011921,-0.190209,0.180284,-0.935135,-0.238414,-0.082077,0.877630,-0.264044,0.872888,-0.350447,-0.151644,0.303741,-0.085677,0.875064,0.264652
18,0.600000,-0.000653,0.643384,-0.028568,-0.765010,0.036552,1.765952,-0.021099,0.000913,0.692196,0.005456,-0.721689,0.048509,1.215197,0.011994,-0.190594,0.179896,-0.935077,-0.238627,-0.082133,0.877644,-0.263714,0.872962,-0.350170,-0.152168,0.303585,-0.085412,0.875017,0.264649
19,0.633333,-0.000638,0.643308,-0.028491,-0.765077,0.036666,1.765952,-0.020985,0.000891,0.692193,0.005439,-0.721692,0.048625,1.215189,0.012079,-0.190987,0.179594,-0.935063,-0.238593,-0.082132,0.877620,-0.263491,0.872993,-0.349927,-0.152664,0.303527,-0.085179,0.874941,0.264748
20,0.666667,-0.000611,0.643267,-0.028502,-0.765111,0.036811,1.765956,-0.020904,0.000925,0.692202,0.005565,-0.721682,0.048772,1.215195,0.012208,-0.191286,0.179228,-0.935094,-0.238510,-0.082094,0.877594,-0.263333,0.872735,-0.350238,-0.153435,0.303520,-0.084910,0.874827,0.265046
21,0.700000,-0.000588,0.643197,-0.028591,-0.765167,0.036971,1.765956,-0.020830,0.001030,0.692202,0.005629,-0.721681,0.048922,1.215200,0.012293,-0.191364,0.179343,-0.935063,-0.238479,-0.082044,0.877550,-0.263241,0.872254,-0.350481,-0.154958,0.303848,-0.084663,0.874720,0.265422
22,0.733333,-0.000443,0.643159,-0.028580,-0.765199,0.037186,1.765927,-0.020776,0.001075,0.692145,0.005697,-0.721736,0.049014,1.215180,0.012378,-0.191448,0.179593,-0.935031,-0.238351,-0.082016,0.877480,-0.263180,0.871729,-0.350440,-0.156382,0.304671,-0.084475,0.874689,0.265784
23,0.766667,-0.000272,0.643175,-0.028531,-0.765188,0.037461,1.765917,-0.020708,0.001093,0.692081,0.005796,-0.721795,0.049125,1.215173,0.012487,-0.191176,0.179686,-0.935035,-0.238483,-0.082026,0.877468,-0.263092,0.871157,-0.350687,-0.157028,0.305691,-0.084388,0.874725,0.266159
24,0.800000,-0.000139,0.643098,-0.028443,-0.765256,0.037748,1.765918,-0.020596,0.001143,0.692039,0.005929,-0.721834,0.049248,1.215170,0.012597,-0.190994,0.179729,-0.935001,-0.238728,-0.082066,0.877482,-0.262946,0.870826,-0.350631,-0.157685,0.306359,-0.084339,0.874781,0.266508
25,0.833333,-0.000111,0.643059,-0.028239,-0.765296,0.038007,1.765897,-0.020485,0.001180,0.691990,0.006007,-0.721881,0.049370,1.215151,0.012677,-0.190652,0.179939,-0.934947,-0.239058,-0.082119,0.877461,-0.262743,0.870632,-0.350696,-0.158039,0.306652,-0.084289,0.874808,0.266808
26,0.866667,-0.000080,0.642945,-0.028017,-0.765400,0.038246,1.765896,-0.020389,0.001219,0.691961,0.006098,-0.721908,0.049490,1.215140,0.012759,-0.190336,0.180093,-0.934904,-0.239361,-0.082192,0.877419,-0.262511,0.870478,-0.350887,-0.158313,0.306731,-0.084300,0.874853,0.267064
27,0.900000,0.000241,0.642893,-0.027890,-0.765448,0.038474,1.765903,-0.020343,0.001253,0.691952,0.006135,-0.721917,0.049617,1.215136,0.012822,-0.189969,0.180231,-0.934837,-0.239809,-0.082242,0.877415,-0.262219,0.870533,-0.350876,-0.158611,0.306432,-0.084325,0.874862,0.267258
28,0.933333,0.000371,0.642850,-0.027811,-0.765487,0.038642,1.765901,-0.020282,0.001214,0.691945,0.006182,-0.721923,0.049709,1.215134,0.012907,-0.189850,0.180401,-0.934782,-0.239989,-0.082300,0.877407,-0.261880,0.870283,-0.351475,-0.159028,0.306240,-0.084393,0.874790,0.267401
29,0.966667,0.000277,0.642930,-0.027807,-0.765420,0.038784,1.765894,-0.020183,0.001212,0.691784,0.006053,-0.722078,0.049890,1.215132,0.013273,-0.189933,0.180022,-0.934792,-0.240168,-0.082357,0.877414,-0.261497,0.869902,-0.351976,-0.159573,0.306465,-0.084480,0.874705,0.267486
30,1.000000,0.000119,0.642997,-0.027950,-0.765359,0.038912,1.765896,-0.020043,0.001243,0.691748,0.006098,-0.722113,0.049970,1.215128,0.013337,-0.190246,0.179677,-0.934743,-0.240372,-0.082374,0.877407,-0.261182,0.869817,-0.352024,-0.160026,0.306412,-0.084589,0.874616,0.267466
31,1.033333,-0.000136,0.643015,-0.027923,-0.765344,0.039039,1.765878,-0.019873,0.001347,0.691715,0.006175,-0.722143,0.050062,1.215101,0.013384,-0.190244,0.179301,-0.934849,-0.240240,-0.082424,0.877357,-0.260976,0.869589,-0.352269,-0.160449,0.306559,-0.084729,0.874497,0.267342
32,1.066667,-0.000463,0.642873,-0.027901,-0.765464,0.039172,1.765861,-0.019671,0.001449,0.691705,0.006292,-0.722151,0.050142,1.215070,0.013442,-0.190280,0.179426,-0.934757,-0.240478,-0.082535,0.877323,-0.260830,0.869454,-0.352456,-0.160874,0.306504,-0.084880,0.874374,0.267155
33,1.100000,-0.000722,0.642761,-0.027977,-0.765555,0.039338,1.765882,-0.019501,0.001536,0.691677,0.006356,-0.722177,0.050203,1.215069,0.013472,-0.190023,0.179155,-0.934844,-0.240546,-0.082711,0.877340,-0.260743,0.869197,-0.352624,-0.161686,0.306611,-0.085025,0.874282,0.266956
34,1.133333,-0.000782,0.642641,-0.028058,-0.765653,0.039546,1.765868,-0.019375,0.001580,0.691709,0.006421,-0.722146,0.050227,1.215057,0.013525,-0.190150,0.179118,-0.934747,-0.240847,-0.082992,0.877406,-0.260667,0.869222,-0.352476,-0.162234,0.306422,-0.085193,0.874182,0.266757
35,1.166667,-0.000727,0.642788,-0.027920,-0.765535,0.039794,1.765860,-0.019269,0.001572,0.691734,0.006471,-0.722121,0.050238,1.215046,0.013580,-0.190247,0.178764,-0.934678,-0.241302,-0.083329,0.877503,-0.260569,0.869193,-0.352563,-0.162453,0.306287,-0.085373,0.874074,0.266569
