Format Version,1.21,Take Name,NatyHead,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2018-11-12 04.15.58.980 PM,Total Frames in Take,1931,Total Exported Frames,483,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,"AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","AF95B89CE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","B79D9FFCE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","CC1E5BBFE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83","D365026AE6C311E8D75CBFEB17343E83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.029197,-0.141217,0.005592,0.989532,-0.056986,1.607020,-0.034910,0.005209,-0.055623,0.000730,0.998438,-0.016699,1.106536,0.002949,-0.014262,0.082080,0.128142,0.988251,-0.032353,0.741315,-0.239525,-0.012519,0.143380,-0.006315,-0.989568,-0.116281,0.773686,0.240795
1,0.033333,-0.032157,-0.143600,0.006798,0.989090,-0.057033,1.606610,-0.036181,0.005114,-0.054923,0.000545,0.998477,-0.016921,1.106434,0.003396,-0.011663,0.092460,0.099248,0.990689,-0.035307,0.744255,-0.238204,-0.015557,0.148266,-0.004988,-0.988813,-0.117609,0.773201,0.238005
2,0.066667,-0.033559,-0.147397,0.008575,0.988471,-0.056960,1.606288,-0.037116,0.004902,-0.055736,0.000313,0.998434,-0.016959,1.106354,0.003748,0.003617,0.117397,0.079406,0.989899,-0.040179,0.746811,-0.238301,-0.016297,0.155773,-0.006892,-0.987635,-0.119130,0.772653,0.235277
3,0.100000,-0.034168,-0.151961,0.010895,0.987736,-0.056610,1.605991,-0.037656,0.005048,-0.057703,-0.000037,0.998321,-0.016807,1.106355,0.004073,0.012328,0.129150,0.072590,0.988888,-0.045958,0.748040,-0.239533,-0.016437,0.162666,-0.008943,-0.986504,-0.120722,0.771968,0.232711
4,0.133333,-0.034379,-0.156655,0.012803,0.986972,-0.055993,1.605739,-0.037925,0.005234,-0.060424,-0.000349,0.998159,-0.016541,1.106320,0.004282,0.010682,0.119097,0.072629,0.990165,-0.052743,0.748363,-0.241340,-0.017616,0.166801,-0.012783,-0.985750,-0.122705,0.771429,0.230677
5,0.166667,-0.034623,-0.160675,0.013597,0.986306,-0.055138,1.605617,-0.038009,0.005398,-0.063143,-0.000356,0.997990,-0.016343,1.106276,0.004471,0.007158,0.104085,0.071909,0.991940,-0.060706,0.748587,-0.241922,-0.017681,0.171351,-0.014184,-0.984949,-0.124848,0.771059,0.228961
