Format Version,1.21,Take Name,piernadercr,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-16 04.18.21.328 PM,Total Frames in Take,1891,Total Exported Frames,474,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso
,,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,B794DAC6CB1A11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740427CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,39740428CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DC9CB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,460E2DCACB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182,B0DEC817CB1B11E7D75CBFEB1734E182
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0,-0.015354,-0.214713,0.022381,0.9763,-0.041115,1.696015,-0.038665,0.000146,-0.544944,0.325728,-0.044635,-0.771327,-0.072763,0.787452,0.256297,0.000784,0.476907,-0.166426,-0.185617,-0.842857,-0.097475,0.788796,-0.261601,0.000612,-0.003582,0.060761,-0.001403,-0.998145,0.013994,0.067777,0.198614,0.00032,Empty,Empty,Empty,-0.99996,Empty,Empty,Empty,0.000448,0.010884,0.027154,-0.003974,0.999564,0.08319,1.360639,0.00232,0.001169
1,0.033333,-0.015269,-0.215593,0.023584,0.976079,-0.041708,1.695862,-0.038838,0.00014,-0.545389,0.329275,-0.041695,-0.769669,-0.075526,0.788213,0.255357,0.000764,0.475225,-0.169254,-0.181027,-0.844242,-0.100394,0.789666,-0.260033,0.000659,-0.003599,0.060667,-0.001417,-0.998151,0.014029,0.067772,0.198616,0.000309,Empty,Empty,Empty,-0.99996,Empty,Empty,Empty,0.000436,0.010672,0.026837,-0.003895,0.999575,0.083193,1.360621,0.002446,0.001168
2,0.066667,-0.014281,-0.214761,0.026562,0.976201,-0.042099,1.695577,-0.03886,0.000244,-0.543916,0.332444,-0.040508,-0.769412,-0.07796,0.788966,0.254576,0.000711,0.474998,-0.171319,-0.176291,-0.844955,-0.102852,0.790285,-0.258671,0.000658,-0.003598,0.060746,-0.001395,-0.998146,0.013993,0.067763,0.198626,0.000326,Empty,Empty,Empty,-0.999961,Empty,Empty,Empty,0.000441,0.010449,0.026507,-0.003814,0.999587,0.083154,1.360605,0.002581,0.001157
3,0.1,-0.014018,-0.214489,0.027579,0.976236,-0.042518,1.695485,-0.038855,0.000246,-0.54145,0.335271,-0.036486,-0.770126,-0.080117,0.789617,0.254085,0.000791,0.475188,-0.172622,-0.174183,-0.84502,-0.104802,0.790848,-0.257631,0.000645,-0.003646,0.060722,-0.00146,-0.998147,0.013998,0.067761,0.198633,0.000322,Empty,Empty,Empty,-0.999961,Empty,Empty,Empty,0.000442,0.010241,0.026215,-0.003663,0.999597,0.083066,1.3606,0.002746,0.001156
