Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
0.007373;0.641755;-0.020435;0.037567;1765294;-0.023990;0.000329;0.693232;0.004452;0.046692;1215265;0.011333;-0.200248;0.179503;-0.932563;-0.084852;0.877167;-0.265611;0.867721;-0.363125;-0.158862;-0.091275;0.877543;0.261776
0.008145;0.642057;-0.019614;0.038143;1765296;-0.024098;0.000427;0.693058;0.004473;0.046675;1215262;0.011388;-0.198267;0.180077;-0.932699;-0.085047;0.877325;-0.265444;0.868627;-0.361556;-0.157052;-0.090771;0.877358;0.261919
0.008968;0.642189;-0.018954;0.038668;1765297;-0.024176;0.000472;0.692882;0.004501;0.046666;1215263;0.011420;-0.197490;0.181095;-0.932579;-0.084998;0.877438;-0.265197;0.870008;-0.360281;-0.153610;-0.090314;0.877245;0.262085
0.009926;0.642395;-0.018253;0.039134;1765309;-0.024206;0.000514;0.692783;0.004519;0.046677;1215244;0.011445;-0.196896;0.181326;-0.932717;-0.084725;0.877495;-0.264968;0.871493;-0.359076;-0.148588;-0.089940;0.877121;0.262310
0.010541;0.642376;-0.017676;0.039492;1765379;-0.024121;0.000565;0.692625;0.004580;0.046734;1215238;0.011446;-0.196884;0.181161;-0.932900;-0.084270;0.877566;-0.264800;0.872230;-0.357686;-0.145294;-0.089547;0.877025;0.262732
0.010626;0.642164;-0.017533;0.039736;1765471;-0.023928;0.000570;0.692467;0.004627;0.046780;1215267;0.011459;-0.196591;0.179985;-0.933446;-0.083739;0.877586;-0.264736;0.872227;-0.356573;-0.145877;-0.088954;0.876843;0.263379
0.009717;0.641584;-0.018107;0.039851;1765474;-0.023621;0.000496;0.692303;0.004610;0.046789;1215260;0.011468;-0.195851;0.179423;-0.933795;-0.083209;0.877558;-0.264814;0.872251;-0.355163;-0.146636;-0.088375;0.876588;0.264033
0.008944;0.641582;-0.018507;0.039821;1765536;-0.023334;0.000485;0.692183;0.004615;0.046844;1215254;0.011488;-0.195367;0.179919;-0.933914;-0.082755;0.877543;-0.264984;0.872738;-0.353570;-0.146701;-0.087900;0.876359;0.264628
0.007641;0.641605;-0.019537;0.039598;1765635;-0.023042;0.000501;0.692159;0.004658;0.046930;1215256;0.011542;-0.194555;0.179898;-0.934265;-0.082377;0.877519;-0.265227;0.872415;-0.352779;-0.148258;-0.087442;0.876106;0.265151
0.006102;0.641573;-0.020962;0.039144;1765699;-0.022795;0.000528;0.692175;0.004715;0.047048;1215245;0.011607;-0.193346;0.180268;-0.934677;-0.082074;0.877459;-0.265497;0.871781;-0.352457;-0.150572;-0.087079;0.875864;0.265539
