Format Version,1.21,Take Name,Rutina_Circulos_Lennon,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-27 08.00.40.658 PM,Total Frames in Take,2367,Total Exported Frames,593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm
,,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,E52FACB0D3DE11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,4088085D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382,9F2FA472D3DF11E7D75CBFEB1734E382
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
90,3,0.017671,-0.01578,-0.024992,-0.999407,0.003558,1.676194,-0.022918,0.000734,0.052318,-0.035962,0.064934,-0.995868,0.114231,1.309574,0.005354,0.002437,-0.199017,0.697954,-0.687802,0.013433,-0.507561,1.272985,0.308292,0.000997,0.058547,-0.020278,0.043598,0.997126,-0.029981,0.05399,-0.204841,0.001593,0.01316,-0.208329,0.005101,0.977957,0.028525,0.050253,0.190619,0.000861,-0.084543,-0.106684,0.530401,-0.836747,-0.485635,1.400782,-0.366267,0.000768
91,3.033333,0.01779,-0.014317,-0.023835,-0.999455,0.003492,1.676268,-0.02207,0.000733,0.050665,-0.035837,0.065098,-0.995947,0.11358,1.309666,0.005637,0.002457,-0.198014,0.692844,-0.693096,0.019394,-0.508241,1.269698,0.306634,0.001006,0.058601,-0.020295,0.043684,0.997119,-0.029993,0.053991,-0.204834,0.001596,0.013352,-0.20827,0.005508,0.977965,0.028525,0.050242,0.190581,0.00088,-0.08919,-0.110086,0.539246,-0.830145,-0.48537,1.414841,-0.364076,0.00082
92,3.066667,0.016478,-0.014066,-0.023244,-0.999495,0.003233,1.676303,-0.021051,0.000735,0.049334,-0.035903,0.064736,-0.996035,0.112836,1.30976,0.005904,0.002574,-0.199836,0.688809,-0.69649,0.022559,-0.508595,1.265111,0.305603,0.000917,0.058599,-0.02026,0.043852,0.997112,-0.030017,0.053994,-0.204804,0.0016,0.013264,-0.208264,0.005451,0.977968,0.02847,0.050273,0.190582,0.00087,-0.094496,-0.112954,0.548279,-0.823227,-0.484982,1.427764,-0.36218,0.000709
93,3.1,0.015533,-0.013439,-0.022272,-0.999541,0.002798,1.676403,-0.020068,0.00072,0.04775,-0.035719,0.065221,-0.996088,0.112028,1.309834,0.006153,0.002598,-0.202996,0.68589,-0.698267,0.027781,-0.508748,1.259465,0.305304,0.000954,0.058587,-0.020264,0.043957,0.997108,-0.030036,0.053997,-0.204784,0.001602,0.01334,-0.208331,0.005906,0.97795,0.028452,0.050262,0.190549,0.000899,-0.09774,-0.115058,0.555748,-0.817528,-0.484443,1.439657,-0.360494,0.000702
