Format Version,1.21,Take Name,Take 2018-11-29 07.14.26 PM,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2018-11-29 07.14.26.776 PM,Total Frames in Take,3586,Total Exported Frames,897,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,"AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","AE629AA5F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","B51499D3F43911E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","210CC7AFF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583","31E7DA7CF43C11E8D75CBFEB17344583"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.036756,-0.720414,-0.015923,0.692387,-0.011075,1.750223,-0.014277,-0.001991,-0.794122,-0.001510,0.607754,0.038763,1.202410,0.024762,-0.042955,0.751326,-0.013803,-0.658387,-0.081166,0.880736,-0.257397,0.056089,0.213122,0.042067,-0.974507,-0.093082,0.898949,0.286864
1,0.033333,0.823195,0.334602,-0.246434,0.386861,-0.010466,1.750269,-0.014355,-0.002257,-0.794414,-0.001479,0.607371,0.038850,1.202337,0.024784,-0.042966,0.751746,-0.013515,-0.657913,-0.081072,0.880668,-0.257559,0.055736,0.213844,0.041229,-0.974405,-0.092709,0.898706,0.286746
2,0.066667,0.823412,0.334017,-0.246550,0.386831,-0.009900,1.750306,-0.014530,-0.002467,-0.794610,-0.001479,0.607114,0.038889,1.202254,0.024793,-0.042067,0.752211,-0.014441,-0.657420,-0.080940,0.880610,-0.257786,0.055145,0.213274,0.039867,-0.974620,-0.092388,0.898317,0.286289
3,0.100000,0.038519,0.720916,0.016999,-0.691743,-0.009443,1.750339,-0.014760,-0.002672,-0.794744,-0.001505,0.606937,0.038898,1.202186,0.024792,-0.042292,0.752212,-0.014066,-0.657413,-0.080801,0.880532,-0.258002,0.055123,0.212991,0.038629,-0.974733,-0.091888,0.897666,0.286091
4,0.133333,0.039054,0.721043,0.017056,-0.691578,-0.009135,1.750363,-0.014981,-0.002829,-0.794829,-0.001561,0.606825,0.038868,1.202116,0.024767,-0.042314,0.752312,-0.014445,-0.657289,-0.080706,0.880509,-0.258242,0.054041,0.213859,0.035355,-0.974728,-0.091078,0.896610,0.286183
5,0.166667,-0.823722,-0.332309,0.246685,-0.387556,-0.008952,1.750370,-0.015153,-0.002989,-0.794958,-0.001549,0.606655,0.038787,1.202042,0.024712,-0.042211,0.752505,-0.014223,-0.657078,-0.080648,0.880520,-0.258452,0.054759,0.213171,0.032390,-0.974941,-0.090173,0.895523,0.286413
