Format Version,1.21,Take Name,posetcr,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-16 04.16.43.724 PM,Total Frames in Take,1325,Total Exported Frames,332,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso
,,"B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","B794DAC6CB1A11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740427CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","39740428CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DC9CB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","460E2DCACB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182","B0DEC817CB1B11E7D75CBFEB1734E182"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.008743,-0.222392,-0.023722,0.974630,-0.012589,1.699134,-0.033245,0.000134,-0.555147,0.392021,-0.100569,-0.726648,-0.079493,0.798638,0.260290,0.000959,-0.462523,0.179464,0.215017,0.841209,-0.081616,0.795524,-0.271527,0.001102,-0.003423,0.073195,-0.001161,-0.997311,0.003888,0.067852,0.199258,0.000427,-0.003346,0.094504,0.002296,-0.995516,-0.025221,0.070945,-0.201601,0.000527,-0.002813,-0.019608,-0.009430,0.999759,0.084810,1.367233,0.007932,0.001539
1,0.033333,-0.008766,-0.223227,-0.023191,0.974451,-0.012772,1.699102,-0.033418,0.000128,-0.555431,0.392495,-0.101354,-0.726066,-0.080001,0.798892,0.260407,0.000907,-0.461897,0.179603,0.214512,0.841652,-0.082027,0.795745,-0.271769,0.001090,-0.002821,0.073134,-0.001422,-0.997317,0.003863,0.067797,0.199265,0.000454,-0.003116,0.094185,0.001873,-0.995548,-0.025264,0.070974,-0.201694,0.000343,-0.002875,-0.019771,-0.009440,0.999756,0.084675,1.367343,0.007903,0.001571
2,0.066667,-0.008949,-0.224215,-0.022861,0.974231,-0.012874,1.699085,-0.033593,0.000117,-0.556289,0.392632,-0.102311,-0.725200,-0.080665,0.799280,0.260560,0.000904,-0.462833,0.180744,0.214537,0.840887,-0.082520,0.795946,-0.272051,0.001071,-0.003037,0.073094,-0.001647,-0.997319,0.003878,0.067834,0.199262,0.000444,-0.003127,0.094194,0.001819,-0.995547,-0.025272,0.070986,-0.201688,0.000340,-0.005381,-0.021264,-0.011077,0.999698,0.084551,1.367034,0.008554,0.001128
3,0.100000,-0.008887,-0.224757,-0.022408,0.974117,-0.012921,1.699033,-0.033749,0.000108,-0.555156,0.393112,-0.101716,-0.725892,-0.081308,0.799580,0.260661,0.000879,-0.461849,0.181158,0.216066,0.840947,-0.082976,0.796258,-0.272322,0.001117,-0.002837,0.073129,-0.001503,-0.997317,0.003844,0.067793,0.199269,0.000450,-0.003122,0.094203,0.001748,-0.995547,-0.025284,0.070968,-0.201702,0.000373,-0.005472,-0.021309,-0.011207,0.999695,0.084532,1.367114,0.008504,0.001127
4,0.133333,-0.008892,-0.225053,-0.021957,0.974059,-0.012931,1.698992,-0.033887,0.000105,-0.554925,0.393554,-0.102067,-0.725779,-0.082117,0.800012,0.260808,0.000866,-0.460916,0.181112,0.215536,0.841605,-0.083445,0.796428,-0.272499,0.001126,-0.002970,0.073059,-0.001707,-0.997322,0.003867,0.067823,0.199252,0.000447,-0.003174,0.094228,0.001889,-0.995544,-0.025302,0.070984,-0.201697,0.000332,-0.005616,-0.021382,-0.011431,0.999690,0.084516,1.367181,0.008442,0.001128
5,0.166667,-0.008895,-0.224988,-0.021863,0.974076,-0.012892,1.698982,-0.034037,0.000116,-0.554944,0.393855,-0.101791,-0.725640,-0.082762,0.800428,0.260967,0.000906,-0.460462,0.181229,0.214920,0.841986,-0.083811,0.796597,-0.272653,0.001106,-0.003090,0.073074,-0.001677,-0.997320,0.003871,0.067832,0.199257,0.000448,-0.003484,0.094149,0.001891,-0.995550,-0.025331,0.071020,-0.201720,0.000368,-0.005794,-0.021435,-0.011808,0.999684,0.084486,1.367247,0.008375,0.001123
6,0.200000,-0.009035,-0.224546,-0.022099,0.974171,-0.012810,1.698974,-0.034237,0.000108,-0.554891,0.394694,-0.100754,-0.725370,-0.083369,0.800779,0.261198,0.000977,-0.460813,0.181407,0.214818,0.841781,-0.084226,0.796630,-0.272661,0.001079,-0.003028,0.073042,-0.001751,-0.997323,0.003866,0.067826,0.199257,0.000440,-0.003164,0.094235,0.001746,-0.995544,-0.025297,0.070967,-0.201696,0.000371,-0.006020,-0.021441,-0.012015,0.999680,0.084457,1.367367,0.008286,0.001149
7,0.233333,-0.009448,-0.223970,-0.022071,0.974300,-0.012737,1.698945,-0.034509,0.000129,-0.551584,0.395926,-0.101088,-0.727172,-0.083991,0.801315,0.261493,0.000933,-0.461528,0.181583,0.214902,0.841330,-0.084546,0.796689,-0.272699,0.001090,-0.002930,0.073111,-0.001819,-0.997318,0.003836,0.067820,0.199238,0.000437,-0.003160,0.094212,0.001735,-0.995546,-0.025299,0.070951,-0.201698,0.000380,-0.006346,-0.021401,-0.012152,0.999677,0.084376,1.367484,0.008205,0.001169
8,0.266667,-0.010033,-0.224041,-0.022192,0.974275,-0.012659,1.698913,-0.034835,0.000137,-0.550877,0.396241,-0.101090,-0.727536,-0.084449,0.801732,0.261757,0.000884,-0.461432,0.182564,0.215189,0.841097,-0.084825,0.796734,-0.272659,0.001086,-0.002980,0.073042,-0.001840,-0.997323,0.003857,0.067821,0.199260,0.000441,-0.003225,0.094214,0.001672,-0.995545,-0.025297,0.070971,-0.201665,0.000346,-0.006725,-0.021301,-0.012219,0.999676,0.084266,1.367618,0.008109,0.001190
9,0.300000,-0.010186,-0.223870,-0.022138,0.974314,-0.012661,1.698890,-0.035199,0.000129,-0.551589,0.396279,-0.101026,-0.726985,-0.084806,0.802099,0.262053,0.000899,-0.460998,0.183225,0.215181,0.841194,-0.085105,0.796762,-0.272504,0.001088,-0.002985,0.073034,-0.001814,-0.997323,0.003860,0.067823,0.199262,0.000442,-0.003216,0.094224,0.001652,-0.995544,-0.025305,0.070967,-0.201682,0.000382,-0.006995,-0.021177,-0.012135,0.999678,0.084146,1.367795,0.008007,0.001207
10,0.333333,-0.010673,-0.223760,-0.021841,0.974341,-0.012785,1.698805,-0.035489,0.000123,-0.553130,0.396600,-0.101892,-0.725516,-0.085083,0.802464,0.262448,0.000871,-0.461381,0.183647,0.214694,0.841016,-0.085420,0.796742,-0.272327,0.001071,-0.002918,0.073033,-0.001846,-0.997324,0.003854,0.067805,0.199259,0.000433,-0.003223,0.094247,0.001782,-0.995542,-0.025325,0.070980,-0.201675,0.000328,-0.007256,-0.021133,-0.011922,0.999679,0.084011,1.367943,0.007902,0.001230
11,0.366667,-0.010927,-0.224001,-0.021585,0.974289,-0.013046,1.698749,-0.035795,0.000100,-0.554417,0.396494,-0.102604,-0.724491,-0.085306,0.802876,0.262877,0.000833,-0.460659,0.184415,0.215450,0.841051,-0.085735,0.796802,-0.272198,0.001110,-0.002901,0.073098,-0.001839,-0.997319,0.003834,0.067825,0.199243,0.000437,-0.003563,0.094159,0.001694,-0.995549,-0.025327,0.071001,-0.201675,0.000354,-0.007523,-0.021104,-0.011745,0.999680,0.083880,1.368106,0.007788,0.001258
12,0.400000,-0.011143,-0.224170,-0.021153,0.974257,-0.013421,1.698697,-0.036085,0.000082,-0.553053,0.397100,-0.102466,-0.725221,-0.085335,0.803155,0.263362,0.000822,-0.460668,0.184762,0.215360,0.840993,-0.086055,0.796850,-0.272062,0.001120,-0.003006,0.073024,-0.001833,-0.997324,0.003857,0.067818,0.199268,0.000444,-0.003622,0.094183,0.001804,-0.995547,-0.025355,0.071021,-0.201698,0.000368,-0.007783,-0.021083,-0.011742,0.999679,0.083694,1.368249,0.007679,0.001278
13,0.433333,-0.010956,-0.223897,-0.020171,0.974343,-0.013834,1.698640,-0.036230,0.000106,-0.552149,0.396760,-0.102453,-0.726097,-0.085181,0.803360,0.263792,0.000946,-0.460361,0.184362,0.215487,0.841215,-0.086410,0.796970,-0.271970,0.001142,-0.003009,0.073013,-0.001859,-0.997325,0.003846,0.067810,0.199261,0.000443,-0.003355,0.094217,0.001736,-0.995545,-0.025328,0.070990,-0.201673,0.000332,-0.008101,-0.021183,-0.011555,0.999676,0.083557,1.368368,0.007561,0.001285
14,0.466667,-0.010411,-0.223259,-0.019633,0.974506,-0.014284,1.698636,-0.036263,0.000131,-0.551502,0.396695,-0.103147,-0.726525,-0.085084,0.803580,0.264253,0.000889,-0.460855,0.184859,0.214323,0.841134,-0.086743,0.796869,-0.271842,0.001079,-0.003085,0.072994,-0.001889,-0.997326,0.003840,0.067820,0.199263,0.000443,-0.003344,0.094266,0.001763,-0.995540,-0.025335,0.070987,-0.201694,0.000366,-0.008336,-0.021206,-0.011345,0.999676,0.083344,1.368487,0.007447,0.001298
15,0.500000,-0.010012,-0.222155,-0.019020,0.974775,-0.014783,1.698641,-0.036251,0.000133,-0.551033,0.396479,-0.103133,-0.727001,-0.084992,0.803745,0.264554,0.000883,-0.460686,0.185577,0.214691,0.840974,-0.086880,0.796860,-0.271859,0.001115,-0.003139,0.072997,-0.001885,-0.997325,0.003849,0.067828,0.199267,0.000440,-0.003391,0.094250,0.001759,-0.995541,-0.025324,0.071010,-0.201670,0.000330,-0.008684,-0.021170,-0.011227,0.999675,0.083143,1.368584,0.007369,0.001302
16,0.533333,-0.009994,-0.220948,-0.018301,0.975063,-0.015371,1.698597,-0.036125,0.000109,-0.551252,0.396852,-0.103770,-0.726541,-0.084884,0.803870,0.264796,0.000760,-0.460910,0.185628,0.214940,0.840777,-0.086928,0.796801,-0.271842,0.001121,-0.003095,0.073019,-0.001895,-0.997324,0.003847,0.067819,0.199267,0.000444,-0.003367,0.094257,0.001650,-0.995541,-0.025305,0.070975,-0.201681,0.000373,-0.008870,-0.021126,-0.011018,0.999677,0.082999,1.368649,0.007285,0.001298
17,0.566667,-0.009598,-0.219453,-0.017407,0.975420,-0.015965,1.698558,-0.035997,0.000141,-0.550913,0.396585,-0.104422,-0.726850,-0.084863,0.804046,0.265005,0.000749,-0.460838,0.185801,0.215134,0.840728,-0.086933,0.796772,-0.271809,0.001120,-0.003102,0.073019,-0.001886,-0.997324,0.003851,0.067814,0.199268,0.000443,-0.003674,0.094179,0.001704,-0.995547,-0.025318,0.071001,-0.201665,0.000357,-0.008973,-0.020990,-0.010750,0.999682,0.082904,1.368704,0.007203,0.001312
18,0.600000,-0.008147,-0.217280,-0.016607,0.975934,-0.016652,1.698571,-0.035853,0.000110,-0.550723,0.396279,-0.104561,-0.727141,-0.084912,0.804166,0.265153,0.000696,-0.460652,0.186112,0.215406,0.840692,-0.086907,0.796706,-0.271764,0.001125,-0.003122,0.073019,-0.001849,-0.997324,0.003847,0.067822,0.199282,0.000443,-0.003381,0.094301,0.001775,-0.995536,-0.025322,0.071004,-0.201678,0.000357,-0.009030,-0.020743,-0.010521,0.999689,0.082821,1.368717,0.007123,0.001319
19,0.633333,-0.007340,-0.215140,-0.015879,0.976426,-0.017355,1.698540,-0.035636,0.000106,-0.550999,0.396042,-0.104181,-0.727115,-0.084976,0.804146,0.265238,0.000687,-0.460790,0.186005,0.215733,0.840556,-0.086823,0.796549,-0.271797,0.001125,-0.003126,0.073014,-0.001864,-0.997324,0.003853,0.067808,0.199272,0.000444,-0.003382,0.094263,0.001673,-0.995540,-0.025304,0.070967,-0.201675,0.000373,-0.009034,-0.020295,-0.010628,0.999697,0.082704,1.368644,0.007025,0.001306
20,0.666667,-0.006865,-0.212993,-0.015447,0.976908,-0.017997,1.698543,-0.035425,0.000101,-0.550567,0.395481,-0.102175,-0.728032,-0.085035,0.804096,0.265307,0.000780,-0.461041,0.185788,0.216053,0.840384,-0.086571,0.796286,-0.271847,0.001123,-0.003107,0.073027,-0.001885,-0.997323,0.003850,0.067806,0.199269,0.000440,-0.003672,0.094212,0.001868,-0.995544,-0.025345,0.071017,-0.201678,0.000341,-0.008963,-0.019712,-0.010923,0.999706,0.082487,1.368575,0.006945,0.001278
21,0.700000,-0.006963,-0.211006,-0.015212,0.977342,-0.018606,1.698557,-0.035177,0.000107,-0.552402,0.394349,-0.101784,-0.727311,-0.084791,0.803953,0.265245,0.000785,-0.462081,0.185179,0.217804,0.839495,-0.086230,0.796100,-0.271710,0.001057,-0.003110,0.073021,-0.001926,-0.997324,0.003852,0.067828,0.199271,0.000445,-0.003374,0.094260,0.001644,-0.995541,-0.025310,0.070986,-0.201669,0.000371,-0.008797,-0.019116,-0.011002,0.999718,0.082202,1.368619,0.006881,0.001267
