Format Version,1.21,Take Name,PiernaD_P,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-27 07.35.03.432 PM,Total Frames in Take,1872,Total Exported Frames,469,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm
,,"A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.095266,-0.273723,-0.058975,-0.955260,-0.103027,1.785114,0.039787,0.000476,0.015055,-0.009989,-0.045750,-0.998790,0.076992,1.432600,0.008513,0.001922,-0.014636,0.026213,-0.001773,-0.999548,-0.069476,0.870293,-0.278480,0.000796,-0.339302,-0.074886,-0.440528,-0.827769,-0.111112,0.843605,0.274911,0.001012,0.027098,0.028001,-0.009217,-0.999198,0.004604,0.054720,0.191069,0.000967,-0.005664,0.001478,-0.005340,0.999969,0.011706,0.059039,-0.233182,0.001376
1,0.033333,-0.095640,-0.274797,-0.060234,-0.954836,-0.103434,1.784871,0.040749,0.000542,0.015027,-0.013841,-0.045306,-0.998764,0.076048,1.432123,0.007714,0.002225,-0.015631,0.026150,-0.002657,-0.999532,-0.068712,0.870220,-0.278618,0.000772,-0.338728,-0.074984,-0.438976,-0.828819,-0.112338,0.843971,0.275395,0.000933,0.027109,0.027986,-0.009182,-0.999198,0.004600,0.054725,0.191068,0.000979,-0.005685,0.001446,-0.005337,0.999969,0.011707,0.059037,-0.233173,0.001375
2,0.066667,-0.096604,-0.276065,-0.061296,-0.954305,-0.103705,1.784660,0.041667,0.000517,0.014596,-0.014178,-0.045288,-0.998767,0.076022,1.432204,0.007893,0.002284,-0.016048,0.025048,-0.003321,-0.999552,-0.068285,0.870244,-0.278641,0.000771,-0.337453,-0.074109,-0.438017,-0.829925,-0.113464,0.844391,0.275931,0.001001,0.027176,0.027927,-0.009219,-0.999198,0.004604,0.054728,0.191069,0.000974,-0.005342,0.001270,-0.005519,0.999970,0.011701,0.059017,-0.233135,0.001364
3,0.100000,-0.097632,-0.276644,-0.062094,-0.953981,-0.103801,1.784538,0.042463,0.000498,0.014301,-0.014432,-0.045328,-0.998766,0.076009,1.432266,0.008069,0.002335,-0.015202,0.024714,-0.003847,-0.999572,-0.068492,0.870507,-0.278773,0.000793,-0.338431,-0.074300,-0.437982,-0.829528,-0.114106,0.844728,0.276304,0.000981,0.027217,0.027898,-0.009222,-0.999198,0.004596,0.054729,0.191057,0.000972,-0.005301,0.001265,-0.005509,0.999970,0.011693,0.059022,-0.233133,0.001360
4,0.133333,-0.098174,-0.277027,-0.062421,-0.953793,-0.103730,1.784504,0.043067,0.000536,0.013177,-0.016973,-0.045308,-0.998742,0.075989,1.432255,0.007503,0.002311,-0.016217,0.025073,-0.002620,-0.999551,-0.069145,0.870854,-0.278883,0.000832,-0.338720,-0.074222,-0.438039,-0.829386,-0.114394,0.844858,0.276642,0.000983,0.027266,0.027827,-0.009110,-0.999199,0.004604,0.054731,0.191040,0.000970,-0.005518,0.001374,-0.005328,0.999970,0.011698,0.059040,-0.233160,0.001372
5,0.166667,-0.098481,-0.276939,-0.062320,-0.953794,-0.103544,1.784551,0.043403,0.000533,0.013025,-0.017064,-0.045137,-0.998750,0.075966,1.432273,0.007691,0.002332,-0.016140,0.023531,-0.003062,-0.999588,-0.070250,0.871386,-0.279097,0.000779,-0.338533,-0.074344,-0.438590,-0.829161,-0.114304,0.844841,0.277008,0.001107,0.027136,0.027885,-0.008992,-0.999202,0.004582,0.054744,0.191053,0.000972,-0.005963,0.001421,-0.005325,0.999967,0.011681,0.059024,-0.233158,0.001366
