Format Version,1.21,Take Name,PiernaI_P,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-27 07.36.42.711 PM,Total Frames in Take,1064,Total Exported Frames,267,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm
,,"A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.100485,-0.272032,-0.173670,-0.941138,-0.148500,1.754947,0.075352,0.000381,0.002958,0.018405,-0.048329,-0.998658,0.080714,1.423400,0.025685,0.001657,-0.010852,0.023734,-0.001014,-0.999659,-0.068303,0.879986,-0.275570,0.000645,0.329453,0.032917,0.436706,0.836460,-0.143652,0.825990,0.263700,0.001142,0.004467,0.041743,-0.006902,-0.999095,-0.047850,0.053547,0.257183,0.001903,-0.009770,-0.065879,-0.009819,0.997732,0.039955,0.059508,-0.255790,0.001275
1,0.033333,-0.100537,-0.272093,-0.173711,-0.941107,-0.148687,1.754907,0.075515,0.000379,0.003080,0.018305,-0.048681,-0.998642,0.080597,1.423367,0.025718,0.001648,-0.011092,0.023499,-0.000547,-0.999662,-0.068639,0.880009,-0.275662,0.000593,0.328928,0.033372,0.437178,0.836402,-0.143524,0.825884,0.263659,0.001105,0.004623,0.041755,-0.006813,-0.999094,-0.047853,0.053520,0.257196,0.001901,-0.008779,-0.065716,-0.009789,0.997752,0.039927,0.059604,-0.255815,0.001280
2,0.066667,-0.100523,-0.272467,-0.173694,-0.941003,-0.148827,1.754891,0.075626,0.000380,0.003047,0.018151,-0.048810,-0.998639,0.080468,1.423374,0.025700,0.001656,-0.010801,0.023144,-0.000461,-0.999674,-0.069089,0.880124,-0.275822,0.000561,0.329046,0.033398,0.437221,0.836332,-0.143438,0.825834,0.263711,0.001089,0.004374,0.041759,-0.006847,-0.999095,-0.047843,0.053541,0.257203,0.001895,-0.008571,-0.065880,-0.009933,0.997741,0.039877,0.059548,-0.255823,0.001385
3,0.100000,-0.100541,-0.272480,-0.173742,-0.940989,-0.148992,1.754853,0.075697,0.000380,0.002994,0.017993,-0.048882,-0.998638,0.080368,1.423387,0.025673,0.001649,-0.010837,0.022070,0.000073,-0.999698,-0.069600,0.880288,-0.276025,0.000542,0.329311,0.033742,0.437077,0.836289,-0.143277,0.825827,0.263874,0.001084,0.004515,0.041801,-0.006803,-0.999093,-0.047850,0.053519,0.257216,0.001899,-0.009494,-0.066087,-0.010109,0.997717,0.039929,0.059471,-0.255800,0.001394
4,0.133333,-0.100710,-0.272625,-0.173955,-0.940889,-0.149216,1.754787,0.075764,0.000364,0.003018,0.017889,-0.049017,-0.998633,0.080269,1.423387,0.025620,0.001640,-0.010195,0.021717,0.000314,-0.999712,-0.070196,0.880493,-0.276120,0.000571,0.328487,0.034049,0.437655,0.836299,-0.143056,0.825840,0.264209,0.001149,0.004334,0.041788,-0.006837,-0.999094,-0.047840,0.053540,0.257210,0.001896,-0.009285,-0.066075,-0.010287,0.997718,0.039931,0.059498,-0.255807,0.001413
5,0.166667,-0.100711,-0.272609,-0.174206,-0.940848,-0.149495,1.754702,0.075787,0.000367,0.003014,0.017560,-0.049157,-0.998632,0.080148,1.423407,0.025566,0.001625,-0.010513,0.021698,0.000899,-0.999709,-0.070659,0.880639,-0.276226,0.000548,0.328083,0.035182,0.438467,0.835984,-0.142713,0.825855,0.264651,0.001251,0.004334,0.041792,-0.006804,-0.999094,-0.047835,0.053545,0.257205,0.001894,-0.008539,-0.065851,-0.010105,0.997742,0.039892,0.059574,-0.255845,0.001405
