Format Version,1.21,Take Name,PoseT,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-27 07.37.28.096 PM,Total Frames in Take,1169,Total Exported Frames,293,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm
,,"A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","A3E1BA8BD3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","BC875451D3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","C528210AD3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1387D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","D6BE1388D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382","E24AA9D5D3D911E7D75CBFEB1734E382"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.090239,-0.263812,-0.118137,-0.953050,-0.147776,1.761234,0.083341,0.000384,-0.018217,-0.041606,0.041850,0.998091,0.067427,1.415529,0.056745,0.002715,0.000800,0.104790,0.008428,-0.994458,-0.047331,0.872171,-0.243884,0.000899,-0.338738,-0.050560,-0.435786,-0.832341,-0.144905,0.827400,0.293708,0.001210,-0.009057,0.073373,-0.012103,-0.997190,-0.079646,0.055199,0.305540,0.001611,-0.004826,-0.059543,-0.011587,0.998147,0.039777,0.060255,-0.255457,0.001813
1,0.033333,-0.091219,-0.262728,-0.118711,-0.953185,-0.147624,1.761165,0.083797,0.000402,-0.017803,-0.042067,0.041142,0.998109,0.067531,1.415475,0.056877,0.002683,0.000170,0.105778,0.008017,-0.994357,-0.046764,0.872430,-0.244613,0.000893,-0.338104,-0.050909,-0.435992,-0.832469,-0.145202,0.827372,0.293435,0.001282,-0.009095,0.073366,-0.012110,-0.997190,-0.079654,0.055200,0.305542,0.001616,-0.004849,-0.059522,-0.011602,0.998148,0.039781,0.060253,-0.255459,0.001804
2,0.066667,-0.092037,-0.261950,-0.119420,-0.953232,-0.147486,1.761081,0.084191,0.000397,-0.017457,-0.042411,0.040730,0.998117,0.067725,1.415417,0.057038,0.002669,-0.000582,0.107025,0.008349,-0.994221,-0.046170,0.872595,-0.245322,0.000993,-0.337695,-0.050371,-0.436275,-0.832520,-0.145697,0.827359,0.293048,0.001290,-0.009055,0.073519,-0.012346,-0.997176,-0.079614,0.055262,0.305570,0.001644,-0.004859,-0.059556,-0.011600,0.998146,0.039780,0.060257,-0.255457,0.001811
3,0.100000,-0.092797,-0.261487,-0.119857,-0.953230,-0.147281,1.761024,0.084589,0.000371,-0.016961,-0.042838,0.040173,0.998130,0.067964,1.415371,0.057165,0.002663,-0.001653,0.106430,0.007065,-0.994294,-0.045472,0.872868,-0.245953,0.000948,-0.339282,-0.050430,-0.434324,-0.832891,-0.146457,0.827406,0.292296,0.001111,-0.008961,0.073356,-0.012105,-0.997192,-0.079668,0.055201,0.305524,0.001619,-0.004856,-0.059571,-0.011618,0.998145,0.039793,0.060257,-0.255463,0.001801
4,0.133333,-0.093342,-0.261151,-0.120134,-0.953234,-0.146950,1.761010,0.084954,0.000368,-0.016668,-0.043219,0.040280,0.998114,0.068344,1.415317,0.057346,0.002666,-0.002631,0.107352,0.007320,-0.994191,-0.044805,0.873037,-0.246461,0.000880,-0.339440,-0.049150,-0.434153,-0.832992,-0.147092,0.827516,0.291648,0.001152,-0.008906,0.073369,-0.012144,-0.997191,-0.079673,0.055201,0.305515,0.001622,-0.004880,-0.059580,-0.011654,0.998144,0.039787,0.060250,-0.255458,0.001808
5,0.166667,-0.093884,-0.260607,-0.120148,-0.953328,-0.146438,1.761035,0.085317,0.000389,-0.016260,-0.043539,0.039233,0.998149,0.068516,1.415221,0.057487,0.002660,-0.002829,0.108915,0.007463,-0.994019,-0.044158,0.873149,-0.246720,0.000890,-0.339843,-0.048333,-0.433776,-0.833072,-0.147764,0.827489,0.290868,0.001141,-0.008840,0.073394,-0.012250,-0.997189,-0.079634,0.055265,0.305565,0.001646,-0.004927,-0.059604,-0.011630,0.998142,0.039793,0.060253,-0.255459,0.001809
