Format Version,1.21,Take Name,NatyArms3,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2018-11-19 06.01.11.308 PM,Total Frames in Take,975,Total Exported Frames,245,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,"A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","A6D28AC0EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","B9616632EC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","C236511FEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283","E3A47D6CEC5311E8D75CBFEB17344283"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.015958,0.027408,-0.016577,0.999360,-0.072984,1.592389,-0.016242,0.016243,0.015521,-0.004292,0.999738,0.018771,1.100074,0.015489,-0.019417,-0.096959,0.046819,-0.993997,-0.090350,0.756573,-0.221126,-0.135261,0.235398,-0.063780,-0.960325,-0.087563,0.781626,0.244881
1,0.033333,0.015510,0.027296,-0.016294,0.999374,-0.073186,1.592332,-0.016387,0.016264,0.015615,-0.004089,0.999738,0.018705,1.100090,0.015428,-0.019532,-0.097239,0.046884,-0.993964,-0.090121,0.756557,-0.221470,-0.133281,0.236098,-0.064437,-0.960386,-0.087679,0.781697,0.245068
2,0.066667,0.014928,0.027137,-0.016369,0.999386,-0.073321,1.592313,-0.016574,0.016324,0.015765,-0.003956,0.999735,0.018687,1.100092,0.015358,-0.020139,-0.097968,0.046841,-0.993883,-0.089897,0.756628,-0.221972,-0.133204,0.236139,-0.064626,-0.960374,-0.087783,0.781722,0.245136
3,0.100000,0.014619,0.026919,-0.016342,0.999397,-0.073404,1.592286,-0.016719,0.016372,0.015896,-0.003940,0.999732,0.018694,1.100095,0.015301,-0.020980,-0.098062,0.045410,-0.993922,-0.089726,0.756679,-0.222502,-0.133081,0.235992,-0.065016,-0.960401,-0.087945,0.781759,0.245192
4,0.133333,0.014491,0.026940,-0.015982,0.999404,-0.073427,1.592225,-0.016829,0.016448,0.016054,-0.003986,0.999728,0.018697,1.100067,0.015237,-0.020885,-0.098008,0.044508,-0.993971,-0.089668,0.756693,-0.222970,-0.134110,0.235578,-0.064240,-0.960412,-0.088070,0.781681,0.245175
5,0.166667,0.014326,0.026981,-0.015474,0.999414,-0.073359,1.592153,-0.016943,0.016493,0.016193,-0.004141,0.999724,0.018682,1.100027,0.015190,-0.020160,-0.097143,0.043942,-0.994096,-0.089635,0.756666,-0.223347,-0.135109,0.235070,-0.064086,-0.960406,-0.088206,0.781566,0.244912
6,0.200000,0.014144,0.026944,-0.015231,0.999421,-0.073187,1.592123,-0.017058,0.016508,0.016295,-0.004316,0.999722,0.018667,1.100004,0.015148,-0.021248,-0.096947,0.044228,-0.994079,-0.089662,0.756675,-0.223680,-0.136094,0.234304,-0.064315,-0.960439,-0.088296,0.781416,0.244596
7,0.233333,0.013842,0.026834,-0.015431,0.999425,-0.072883,1.592165,-0.017158,0.016541,0.016291,-0.004501,0.999720,0.018641,1.099960,0.015133,-0.021529,-0.096513,0.044626,-0.994098,-0.089714,0.756629,-0.223846,-0.135121,0.234861,-0.064032,-0.960460,-0.088409,0.781315,0.244095
8,0.266667,0.013663,0.026983,-0.016098,0.999413,-0.072440,1.592296,-0.017268,0.016545,0.016252,-0.004674,0.999720,0.018630,1.099928,0.015140,-0.021824,-0.095437,0.045784,-0.994143,-0.089849,0.756635,-0.223874,-0.135149,0.234522,-0.063071,-0.960602,-0.088480,0.781223,0.243584
9,0.300000,0.013271,0.026963,-0.017394,0.999397,-0.071970,1.592499,-0.017422,0.016637,0.016214,-0.004768,0.999719,0.018637,1.099896,0.015173,-0.021695,-0.095379,0.045904,-0.994145,-0.089986,0.756596,-0.223705,-0.135845,0.235078,-0.062995,-0.960373,-0.088630,0.781099,0.243081
10,0.333333,0.013070,0.026657,-0.018873,0.999381,-0.071467,1.592711,-0.017596,0.016755,0.016179,-0.004903,0.999717,0.018644,1.099842,0.015217,-0.020487,-0.094523,0.045365,-0.994278,-0.090090,0.756549,-0.223417,-0.136459,0.235493,-0.063310,-0.960163,-0.088809,0.780936,0.242631
11,0.366667,0.012553,0.025739,-0.019948,0.999391,-0.070974,1.592909,-0.017770,0.016850,0.016169,-0.005011,0.999715,0.018668,1.099809,0.015278,-0.021416,-0.095747,0.046015,-0.994111,-0.090156,0.756480,-0.222983,-0.137807,0.235833,-0.062667,-0.959930,-0.089032,0.780826,0.242406
12,0.400000,0.012210,0.025351,-0.020784,0.999388,-0.070528,1.593090,-0.017895,0.017022,0.016186,-0.005130,0.999711,0.018720,1.099766,0.015359,-0.021164,-0.095836,0.046690,-0.994076,-0.090182,0.756412,-0.222352,-0.137187,0.235864,-0.062544,-0.960019,-0.089286,0.780754,0.242248
13,0.433333,0.011815,0.025196,-0.021699,0.999377,-0.070165,1.593247,-0.017964,0.017467,0.015463,-0.005250,0.999714,0.018725,1.099654,0.015348,-0.019597,-0.095076,0.047358,-0.994150,-0.090249,0.756280,-0.221616,-0.136964,0.235086,-0.062747,-0.960228,-0.089602,0.780697,0.242001
14,0.466667,0.011654,0.024994,-0.022568,0.999365,-0.069889,1.593420,-0.017956,0.017376,0.016308,-0.005407,0.999701,0.018844,1.099716,0.015524,-0.019515,-0.094751,0.046538,-0.994221,-0.090262,0.756170,-0.220985,-0.136822,0.234479,-0.061873,-0.960454,-0.089822,0.780687,0.241956
15,0.500000,0.011533,0.024960,-0.023347,0.999349,-0.069689,1.593588,-0.017872,0.017762,0.015451,-0.005450,0.999708,0.018855,1.099599,0.015502,-0.019031,-0.094434,0.046734,-0.994251,-0.090241,0.756128,-0.220375,-0.137355,0.234506,-0.060839,-0.960437,-0.089943,0.780668,0.242090
